ID	population
GD1	GD
GD10	GD
GD11	GD
GD12	GD
GD13	GD
GD14	GD
GD15	GD
GD16	GD
GD17	GD
GD18	GD
GD19	GD
GD2	GD
GD20	GD
GD3	GD
GD4	GD
GD5	GD
GD6	GD
GD7	GD
GD8	GD
GD9	GD
HB10	HB
HB12	HB
HB13	HB
HB14	HB
HB15	HB
HB16	HB
HB17	HB
HB18	HB
HB19	HB
HB20	HB
HB22	HB
HB26	HB
HB27	HB
HB28	HB
HB29	HB
HB3	HB
HB4	HB
HB5	HB
HB6	HB
HB8	HB
HLJ1	HLJ
HLJ10	HLJ
HLJ11	HLJ
HLJ12_1	HLJ
HLJ13	HLJ
HLJ14	HLJ
HLJ16	HLJ
HLJ17	HLJ
HLJ18	HLJ
HLJ19	HLJ
HLJ2	HLJ
HLJ20	HLJ
HLJ23	HLJ
HLJ25	HLJ
HLJ3	HLJ
HLJ5	HLJ
HLJ6	HLJ
HLJ7	HLJ
HLJ8	HLJ
HLJ9	HLJ
HN1	HN
HN10	HN
HN11	HN
HN12	HN
HN13	HN
HN14	HN
HN15	HN
HN16	HN
HN17	HN
HN18	HN
HN19	HN
HN2	HN
HN20	HN
HN3	HN
HN4	HN
HN5	HN
HN6	HN
HN7	HN
HN8	HN
HN9	HN
SD1	SD
SD10	SD
SD11	SD
SD12	SD
SD13	SD
SD14	SD
SD15	SD
SD17	SD
SD18	SD
SD19	SD
SD2	SD
SD21	SD
SD22	SD
SD3	SD
SD4	SD
SD5	SD
SD6	SD
SD7	SD
SD8	SD
SD9	SD
YN20	YN
YN24	YN
YN29	YN
YN3	YN
YN30	YN
YN42	YN
YN44_1	YN
YN45	YN
YN46	YN
YN47	YN
YN48	YN
YN49	YN
YN50	YN
YN51	YN
YN53	YN
YN54	YN
YN55	YN
YN57	YN
YN58	YN
YN7	YN
ZJ10	ZJ
ZJ11	ZJ
ZJ14	ZJ
ZJ18	ZJ
ZJ19	ZJ
ZJ20	ZJ
ZJ22	ZJ
ZJ40	ZJ
ZJ45	ZJ
ZJ51	ZJ
ZJ54	ZJ
ZJ59	ZJ
ZJ6	ZJ
ZJ60	ZJ
ZJ66	ZJ
ZJ68	ZJ
ZJ7	ZJ
ZJ74	ZJ
ZJ8	ZJ
ZJ9	ZJ
